Trade_ID,Action_Type,Ticker,Action_Time,Action_Price,Shares,Total_Action_Value,Cash_After_Trade,Value_of_Open_Positions,Value_of_Fund,Simple_Return,R_Multiple
18,Sell,CRWD,2024-08-02 13:18:00,217.58,231.09,50280.56,100375.13,0.00,100375.13,0.38%,2.16
19,Buy,CRWD,2024-08-02 15:36:00,217.84,230.38,50185.98,50189.15,50185.98,100375.13,,
19,Sell,CRWD,2024-08-02 15:38:00,217.49,230.38,50105.35,100294.50,0.00,100294.50,-0.16%,-1.00
20,Buy,CRWD,2024-08-02 15:52:00,217.74,230.30,50145.52,50148.98,50145.52,100294.50,,
20,Sell,CRWD,2024-08-05 09:30:00,217.23,230.30,50028.07,100177.05,0.00,100177.05,-0.23%,-1.00
21,Buy,CRWD,2024-08-05 11:58:00,219.73,227.95,50087.45,50089.60,50087.45,100177.05,,
21,Sell,CRWD,2024-08-05 12:04:00,220.66,227.95,50299.45,100389.05,0.00,100389.05,0.42%,1.11
22,Buy,CRWD,2024-08-06 10:10:00,228.18,219.97,50192.75,50196.30,50192.75,100389.05,,
22,Sell,CRWD,2024-08-06 10:12:00,227.42,219.97,50025.58,100221.88,0.00,100221.88,-0.33%,-1.00
23,Buy,CRWD,2024-08-06 11:22:00,230.05,217.82,50109.49,50112.39,50109.49,100221.88,,
23,Sell,CRWD,2024-08-06 11:24:00,229.34,217.82,49954.84,100067.23,0.00,100067.23,-0.31%,-1.00
24,Buy,CRWD,2024-08-06 13:02:00,232.11,215.55,50031.31,50035.92,50031.31,100067.23,,
24,Sell,CRWD,2024-08-06 13:12:00,231.15,215.55,49824.38,99860.30,0.00,99860.30,-0.41%,-1.00
25,Buy,CRWD,2024-08-06 13:52:00,232.39,214.85,49928.99,49931.31,49928.99,99860.30,,
25,Sell,CRWD,2024-08-06 13:54:00,233.43,214.85,50152.44,100083.75,0.00,100083.75,0.45%,2.97
26,Buy,CRWD,2024-08-07 10:00:00,240.69,207.91,50041.86,50041.89,50041.86,100083.75,,
26,Sell,CRWD,2024-08-07 10:02:00,242.67,207.91,50453.52,100495.41,0.00,100495.41,0.82%,2.02
27,Buy,CRWD,2024-08-08 11:58:00,236.65,212.32,50245.53,50249.88,50245.53,100495.41,,
27,Sell,CRWD,2024-08-08 12:04:00,238.97,212.32,50738.11,100987.99,0.00,100987.99,0.98%,7.73
28,Buy,CRWD,2024-08-08 12:46:00,239.21,211.08,50492.45,50495.54,50492.45,100987.99,,
28,Sell,CRWD,2024-08-08 13:02:00,238.71,211.08,50386.91,100882.45,0.00,100882.45,-0.21%,-1.00
29,Buy,CRWD,2024-08-08 13:32:00,240.94,209.35,50440.79,50441.66,50440.79,100882.45,,
29,Sell,CRWD,2024-08-08 13:36:00,240.52,209.35,50352.86,100794.52,0.00,100794.52,-0.17%,-1.00
30,Buy,CRWD,2024-08-09 10:52:00,243.07,207.33,50395.70,50398.82,50395.70,100794.52,,
30,Sell,CRWD,2024-08-09 10:54:00,244.64,207.33,50721.21,101120.03,0.00,101120.03,0.65%,3.02
31,Buy,CRWD,2024-08-09 11:00:00,244.28,206.97,50558.63,50561.40,50558.63,101120.03,,
31,Sell,CRWD,2024-08-09 11:02:00,245.08,206.97,50724.21,101285.61,0.00,101285.61,0.33%,1.07
32,Buy,CRWD,2024-08-12 11:08:00,241.39,209.79,50641.21,50644.40,50641.21,101285.61,,
32,Sell,CRWD,2024-08-12 11:10:00,241.70,209.79,50706.24,101350.64,0.00,101350.64,0.13%,0.89
33,Buy,CRWD,2024-08-12 13:08:00,239.83,211.29,50673.68,50676.96,50673.68,101350.64,,
33,Sell,CRWD,2024-08-12 13:50:00,239.51,211.29,50606.07,101283.03,0.00,101283.03,-0.13%,-1.00
34,Buy,CRWD,2024-08-13 11:04:00,244.59,207.04,50639.91,50643.12,50639.91,101283.03,,
35,Buy,CRWD,2024-08-13 12:06:00,245.31,103.22,25320.90,25322.22,76109.88,101432.10,,
35,Sell,CRWD,2024-08-13 12:38:00,247.40,103.22,25536.63,50858.85,51221.70,102080.55,0.85%,7.74
34,Sell,CRWD,2024-08-13 12:38:00,247.40,207.04,51221.70,102080.55,0.00,102080.55,1.15%,10.04
36,Buy,CRWD,2024-08-13 13:58:00,247.85,205.93,51039.75,51040.80,51039.75,102080.55,,
37,Buy,CRWD,2024-08-13 14:10:00,248.23,102.80,25518.04,25522.76,76636.05,102158.81,,
38,Buy,CRWD,2024-08-13 14:38:00,248.73,51.30,12759.85,12762.91,89550.26,102313.17,,
38,Sell,CRWD,2024-08-13 14:40:00,248.51,51.30,12748.56,25511.47,76722.49,102233.96,-0.09%,-1.00
37,Sell,CRWD,2024-08-13 14:44:00,247.92,102.80,25486.18,50997.65,51054.17,102051.82,-0.12%,-1.00
39,Buy,CRWD,2024-08-13 15:16:00,248.35,102.67,25498.09,25499.56,76640.81,102140.37,,
39,Sell,CRWD,2024-08-13 15:20:00,248.06,102.67,25468.32,50967.88,51083.00,102050.88,-0.12%,-1.00
40,Buy,CRWD,2024-08-13 15:36:00,248.27,102.64,25482.43,25485.45,76608.67,102094.12,,
40,Sell,CRWD,2024-08-13 15:38:00,248.04,102.64,25458.83,50944.28,51078.88,102023.16,-0.09%,-1.00
36,Sell,CRWD,2024-08-13 15:52:00,247.53,205.93,50973.85,101918.13,0.00,101918.13,-0.13%,-1.00
41,Buy,CRWD,2024-08-14 10:40:00,252.65,201.69,50956.98,50961.15,50956.98,101918.13,,
41,Sell,CRWD,2024-08-14 10:42:00,254.31,201.69,51291.78,102252.93,0.00,102252.93,0.66%,3.32
42,Buy,CRWD,2024-08-14 11:30:00,255.62,200.00,51124.00,51128.93,51124.00,102252.93,,
42,Sell,CRWD,2024-08-14 11:36:00,256.40,200.00,51280.00,102408.93,0.00,102408.93,0.30%,1.56
43,Buy,CRWD,2024-08-15 14:08:00,260.88,196.27,51202.92,51206.01,51202.92,102408.93,,
43,Sell,CRWD,2024-08-15 14:16:00,260.57,196.27,51142.07,102348.08,0.00,102348.08,-0.12%,-1.00
44,Buy,CRWD,2024-08-16 12:22:00,260.21,196.66,51172.90,51175.18,51172.90,102348.08,,
45,Buy,CRWD,2024-08-16 12:32:00,260.87,98.08,25586.13,25589.05,76888.82,102477.87,,
44,Sell,CRWD,2024-08-16 12:36:00,261.80,196.66,51485.59,77074.64,25677.34,102751.98,0.61%,4.30
45,Sell,CRWD,2024-08-16 12:36:00,261.80,98.08,25677.34,102751.98,0.00,102751.98,0.36%,2.66
46,Buy,CRWD,2024-08-16 15:34:00,261.75,196.27,51373.67,51378.31,51373.67,102751.98,,
46,Sell,CRWD,2024-08-16 15:46:00,261.54,196.27,51332.46,102710.77,0.00,102710.77,-0.08%,-1.00
47,Buy,CRWD,2024-08-19 09:38:00,266.01,193.05,51353.23,51357.54,51353.23,102710.77,,
47,Sell,CRWD,2024-08-19 09:40:00,267.00,193.05,51544.35,102901.89,0.00,102901.89,0.37%,1.21
48,Buy,CRWD,2024-08-19 14:28:00,266.74,192.88,51448.81,51453.08,51448.81,102901.89,,
49,Buy,CRWD,2024-08-19 14:36:00,267.36,96.22,25725.38,25727.70,77293.78,103021.48,,
49,Sell,CRWD,2024-08-19 14:56:00,267.08,96.22,25698.44,51426.14,51514.39,102940.53,-0.10%,-1.00
48,Sell,CRWD,2024-08-19 15:06:00,266.50,192.88,51402.52,102828.66,0.00,102828.66,-0.09%,-1.00
50,Buy,CRWD,2024-08-20 11:58:00,267.03,192.54,51413.96,51414.70,51413.96,102828.66,,
50,Sell,CRWD,2024-08-20 12:34:00,266.69,192.54,51348.49,102763.19,0.00,102763.19,-0.13%,-1.00
51,Buy,CRWD,2024-08-20 14:50:00,267.14,192.33,51379.04,51384.15,51379.04,102763.19,,
51,Sell,CRWD,2024-08-20 14:52:00,266.93,192.33,51338.65,102722.80,0.00,102722.80,-0.08%,-1.00
52,Buy,CRWD,2024-08-21 09:38:00,268.20,191.50,51360.30,51362.50,51360.30,102722.80,,
52,Sell,CRWD,2024-08-21 09:40:00,270.29,191.50,51760.54,103123.04,0.00,103123.04,0.78%,2.13
53,Buy,CRWD,2024-08-21 10:40:00,273.05,188.83,51560.03,51563.01,51560.03,103123.04,,
53,Sell,CRWD,2024-08-21 10:42:00,273.83,188.83,51707.32,103270.33,0.00,103270.33,0.29%,1.11
54,Buy,CRWD,2024-08-21 12:48:00,271.08,190.47,51632.61,51637.72,51632.61,103270.33,,
54,Sell,CRWD,2024-08-21 13:20:00,270.80,190.47,51579.28,103217.00,0.00,103217.00,-0.10%,-1.00
55,Buy,CRWD,2024-08-21 13:34:00,270.90,190.50,51606.45,51610.55,51606.45,103217.00,,
56,Buy,CRWD,2024-08-21 15:46:00,272.21,94.79,25802.79,25807.76,77658.79,103466.55,,
55,Sell,CRWD,2024-08-21 15:48:00,273.18,190.50,52040.79,77848.55,25894.73,103743.28,0.84%,8.77
56,Sell,CRWD,2024-08-21 15:48:00,273.18,94.79,25894.73,103743.28,0.00,103743.28,0.36%,2.69
